@relation wpo_1_0_0 caption="WPO 1.0.0" description="generated from omic/random_state_2/split_6/.csv"
@attribute id numeric
@attribute Natoms numeric
@attribute percent_atom_al numeric
@attribute percent_atom_ga numeric
@attribute percent_atom_in numeric
@attribute vol_per_atom numeric
@attribute a numeric
@attribute b numeric
@attribute c numeric
@attribute alpha numeric
@attribute gamma numeric
@attribute beta numeric
@attribute a_b numeric
@attribute b_c numeric
@attribute a_c numeric
@attribute ecn_bond_dist_Al-O numeric
@attribute ecn_bond_dist_Ga-O numeric
@attribute ecn_bond_dist_In-O numeric
@attribute Unnamed: 23 numeric
@attribute Unnamed: 24 numeric
@attribute Ef numeric
@attribute atomic_predE numeric
@attribute abs_error numeric
@attribute error numeric
@attribute sq_error numeric
@attribute norm_abs_error numeric
@attribute sum_Ef_and_normalized_error numeric
@attribute sum_pred_Ef_and_abs_error numeric
@data
1,80,0.1875,0.46875,0.34375,11.44184319,10.53806824,9.636107541,9.014119971,89.9997186,90.00060116,90.00029582,1.093602183,1.069001475,1.169062346,1.929609048,1.906606014,1.894562655,,,0.2284,0.250095785,0.021695785000000023,0.021695785000000023,0.000470707086766226,0.09499030210157629,0.3450860871015763,0.27179157000000004
3,30,0.666666667,0.166666667,0.166666667,9.654028289,13.47991219,4.9810648539999995,4.980771717,120.0014788,89.98999962,90.010937,2.7062310139999997,1.0000588540000002,2.7063902860000004,1.937362241,1.937398621,1.937325865,,,0.1763,0.21800934,0.041709339999999984,0.041709339999999984,0.0017396690432355986,0.2365816222348269,0.45459096223482687,0.25971868
4,80,0.5625,0.4375,0.0,10.22654571,24.33704809,6.00908078,5.761986397,89.99949258,103.8581078,90.00022959,4.050045087,1.042883542,4.223725364,1.864728294,1.8772722290000001,0.0,,,0.0389,0.102689092,0.06378909199999999,0.06378909199999999,0.004069048258184463,1.639822416452442,1.742511508452442,0.16647818399999997
5,80,0.1875,0.5,0.3125,11.54994259,24.64428267,6.29062899,6.1588682189999995,90.00003043,104.59296859999999,90.0001276,3.917618208,1.021393666,4.001430424,1.906420315,1.913211596,1.930325624,,,0.147,0.24500208,0.09800208000000002,0.09800208000000002,0.009604407684326403,0.6666808163265308,0.9116828963265308,0.34300416
6,40,1.0,0.0,0.0,9.276486157999999,9.034389263,8.401775584,4.888477483,90.00129912,90.0024096,90.00610793,1.0752952359999999,1.718689636,1.8480987780000002,1.775664145,0.0,0.0,,,0.0423,0.127431297,0.085131297,0.085131297,0.007247337728902208,2.0125602127659574,2.1399915097659576,0.212562594
8,80,0.1875,0.6875,0.125,10.73991325,10.29545153,9.450526229,8.830582872,89.99885189,90.00135218,90.00143421,1.0894051059999998,1.070204127,1.16588584,1.8663016080000001,1.8652534109999999,1.868726736,,,0.1371,0.150348651,0.013248651,0.013248651,0.000175526753319801,0.09663494529540481,0.2469835962954048,0.163597302
9,80,0.3125,0.6875,0.0,10.18138122,10.09837286,9.296770363,8.675872899,89.99957546,90.00193072,90.00211323,1.08622376,1.071565994,1.163960443,1.808516494,1.843011045,0.0,,,0.073,0.094688846,0.021688845999999998,0.021688845999999998,0.0004704060408117159,0.2971074794520548,0.3917963254520548,0.11637769199999999
10,80,0.75,0.0,0.25,10.08950929,9.311076111,9.310829675,9.310473611,90.00164172,89.99932838,90.00266602,1.000026468,1.0000382429999999,1.0000647120000001,1.966934224,0.0,1.975596645,,,0.2529,0.30190836,0.04900835999999997,0.04900835999999997,0.0024018193498895972,0.19378552787663098,0.49569388787663093,0.35091671999999996
11,30,0.166666667,0.5,0.333333333,10.82519998,13.91621027,5.191274541,5.190803358,120.00063519999999,89.99797036,90.00236375,2.680692412,1.000090773,2.680935745,2.015371106,2.015349065,2.015338045,,,0.2144,0.255574193,0.041174193,0.041174193,0.0016953141692012488,0.19204381063432835,0.44761800363432835,0.296748386
12,30,0.25,0.666666667,0.083333333,9.971685512,13.59432975,5.041048332,5.040606716,120.000469,89.99673186,90.00445672,2.6967267230000003,1.000087612,2.696962988,1.95934718,1.9593601619999998,1.9593990490000002,,,0.1214,0.136179998,0.014779998000000003,0.014779998000000003,0.00021844834088000407,0.12174627677100497,0.25792627477100494,0.15095999599999999
13,80,0.25,0.3125,0.4375,11.62960266,24.47333092,6.625338113,6.624993291,119.9913384,90.01040947,90.00328788,3.693899164,1.000052049,3.694091427,2.04795565,2.047839909,2.0479060469999997,,,0.3244,0.23798631,0.08641369000000002,-0.08641369000000002,0.007467325819416103,0.26638005548705307,0.504366365487053,0.3244
14,40,0.4375,0.5625,0.0,10.33929438,14.22967985,9.975772166,5.776534014,30.29262659,90.72965421,90.84782701,1.426423901,1.726947706,2.463359484,1.981394335,1.9268227009999999,0.0,,,0.0903,0.102808035,0.012508035,0.012508035,0.00015645093956122503,0.13851644518272424,0.24132448018272423,0.11531607
15,80,0.03125,0.09375,0.875,13.13471178,10.16660805,10.16641646,10.16638512,89.99876531,90.00091285,90.00087629999999,1.000018845,1.000003083,1.000021928,2.1429898130000002,2.15243703,2.150079793,,,0.0624,0.137516101,0.075116101,0.075116101,0.005642428629442202,1.203783669871795,1.341299770871795,0.212632202
16,80,0.9375,0.03125,0.03125,9.484678083,23.4342707,6.114940467,6.114525225,120.00553670000001,90.00721772,90.0037332,3.83229744,1.000067911,3.832557695,1.8898923090000002,2.03299476,2.03299476,,,0.2129,0.130853317,0.08204668300000001,-0.08204668300000001,0.00673165819130249,0.38537662282761864,0.5162299398276187,0.2129
