id,Natoms,percent_atom_al,percent_atom_ga,percent_atom_in,vol_per_atom,a,b,c,alpha,gamma,beta,a_b,b_c,a_c,ecn_bond_dist_Al-O,ecn_bond_dist_Ga-O,ecn_bond_dist_In-O,Unnamed: 23,Unnamed: 24,Ef,soap_predE,abs_error,error,sq_error,norm_abs_error,sum_Ef_and_normalized_error,sum_pred_Ef_and_abs_error
1,80,0.1875,0.46875,0.34375,11.44184319,10.53806824,9.636107541,9.014119971,89.9997186,90.00060116,90.00029582,1.093602183,1.069001475,1.169062346,1.929609048,1.906606014,1.894562655,,,0.2284,0.24018281,0.011782810000000005,0.011782810000000005,0.0001388346114961001,0.051588485113835396,0.29177129511383537,0.25196562
3,30,0.666666667,0.166666667,0.166666667,9.654028289,13.47991219,4.9810648539999995,4.980771717,120.0014788,89.98999962,90.010937,2.7062310139999997,1.0000588540000002,2.7063902860000004,1.937362241,1.937398621,1.937325865,,,0.1763,0.15501696,0.021283040000000003,-0.021283040000000003,0.0004529677916416001,0.12072058990357347,0.27573754990357346,0.1763
4,80,0.5625,0.4375,0.0,10.22654571,24.33704809,6.00908078,5.761986397,89.99949258,103.8581078,90.00022959,4.050045087,1.042883542,4.223725364,1.864728294,1.8772722290000001,0.0,,,0.0389,0.0385601,0.00033989999999999715,-0.00033989999999999715,1.1553200999999806e-07,0.00873778920308476,0.04729788920308476,0.0389
5,80,0.1875,0.5,0.3125,11.54994259,24.64428267,6.29062899,6.1588682189999995,90.00003043,104.59296859999999,90.0001276,3.917618208,1.021393666,4.001430424,1.906420315,1.913211596,1.930325624,,,0.147,0.14409196,0.0029080400000000006,-0.0029080400000000006,8.456696641600004e-06,0.01978258503401361,0.1638745450340136,0.147
6,40,1.0,0.0,0.0,9.276486157999999,9.034389263,8.401775584,4.888477483,90.00129912,90.0024096,90.00610793,1.0752952359999999,1.718689636,1.8480987780000002,1.775664145,0.0,0.0,,,0.0423,0.04551858,0.0032185800000000056,0.0032185800000000056,1.0359257216400037e-05,0.0760893617021278,0.1216079417021278,0.04873716000000001
8,80,0.1875,0.6875,0.125,10.73991325,10.29545153,9.450526229,8.830582872,89.99885189,90.00135218,90.00143421,1.0894051059999998,1.070204127,1.16588584,1.8663016080000001,1.8652534109999999,1.868726736,,,0.1371,0.13462901,0.0024709900000000062,-0.0024709900000000062,6.105791580100031e-06,0.018023267687819155,0.15265227768781914,0.1371
9,80,0.3125,0.6875,0.0,10.18138122,10.09837286,9.296770363,8.675872899,89.99957546,90.00193072,90.00211323,1.08622376,1.071565994,1.163960443,1.808516494,1.843011045,0.0,,,0.073,0.07553876,0.002538760000000001,0.002538760000000001,6.445302337600005e-06,0.034777534246575356,0.11031629424657535,0.07807752
10,80,0.75,0.0,0.25,10.08950929,9.311076111,9.310829675,9.310473611,90.00164172,89.99932838,90.00266602,1.000026468,1.0000382429999999,1.0000647120000001,1.966934224,0.0,1.975596645,,,0.2529,0.26116304,0.00826304,0.00826304,6.827783004159998e-05,0.0326731514432582,0.29383619144325823,0.26942608
11,30,0.166666667,0.5,0.333333333,10.82519998,13.91621027,5.191274541,5.190803358,120.00063519999999,89.99797036,90.00236375,2.680692412,1.000090773,2.680935745,2.015371106,2.015349065,2.015338045,,,0.2144,0.20759643,0.006803570000000009,-0.006803570000000009,4.628856474490012e-05,0.031733069029850784,0.2393294990298508,0.2144
12,30,0.25,0.666666667,0.083333333,9.971685512,13.59432975,5.041048332,5.040606716,120.000469,89.99673186,90.00445672,2.6967267230000003,1.000087612,2.696962988,1.95934718,1.9593601619999998,1.9593990490000002,,,0.1214,0.11639953,0.005000469999999993,-0.005000469999999993,2.500470022089993e-05,0.0411900329489291,0.15758956294892912,0.1214
14,40,0.4375,0.5625,0.0,10.33929438,14.22967985,9.975772166,5.776534014,30.29262659,90.72965421,90.84782701,1.426423901,1.726947706,2.463359484,1.981394335,1.9268227009999999,0.0,,,0.0903,0.13646796,0.046167959999999994,0.046167959999999994,0.0021314805305615993,0.5112730897009966,0.6477410497009966,0.18263592
