id,Natoms,percent_atom_al,percent_atom_ga,percent_atom_in,vol_per_atom,a,b,c,alpha,beta,gamma,a_b,b_c,a_c,ecn_bond_dist_Al-Ga,ecn_bond_dist_Al-In,ecn_bond_dist_Al-O,ecn_bond_dist_Ga-Al,ecn_bond_dist_Ga-In,ecn_bond_dist_Ga-O,ecn_bond_dist_In-Al,ecn_bond_dist_In-Ga,ecn_bond_dist_In-O,ecn_bond_dist_O-Al,ecn_bond_dist_O-Ga,ecn_bond_dist_O-In,Ef,ngram_predE,abs_error,error,sq_error,norm_abs_error,sum_Ef_and_normalized_error,sum_pred_Ef_and_abs_error
2,80,0.75,0.25,0.0,9.599033818,9.893821445,9.129793555,8.501439815,90.00381777,90.00157689,90.00236558,1.083685122,1.07391145,1.163781861,3.050626298,0.0,1.796232793,2.951190239,0.0,1.796228552,0.0,0.0,0.0,1.84303484,1.22793466,0.0,0.0591,0.062719945,0.003619945,0.003619945,1.3104001803e-05,0.0612511844332,0.123971129433,0.06633989
4,80,0.5625,0.4375,0.0,10.22654571,24.33704809,6.00908078,5.761986397,89.99949258,103.8581078,90.00022959,4.050045087,1.042883542,4.223725364,3.117103688,0.0,1.864728294,3.074627382,0.0,1.877272229,0.0,0.0,0.0,1.75066531,1.702444572,0.0,0.0389,0.039963592,0.001063592,0.001063592,1.13122794246e-06,0.0273416966581,0.0673052886581,0.041027184
5,80,0.1875,0.5,0.3125,11.54994259,24.64428267,6.29062899,6.158868219,90.00003043,104.5929686,90.0001276,3.917618208,1.021393666,4.001430424,3.183124436,3.390086892,1.906420315,2.455953849,3.297044913,1.913211596,3.396728388,3.224584543,1.930325624,0.98013503,1.793225826,1.460469427,0.147,0.137221068,0.009778932,-0.009778932,9.56275110606e-05,0.0665233469388,0.203744414939,0.147
6,40,1.0,0.0,0.0,9.276486158,9.034389263,8.401775584,4.888477483,90.00129912,90.0024096,90.00610793,1.075295236,1.718689636,1.848098778,0.0,0.0,1.775664145,0.0,0.0,0.0,0.0,0.0,0.0,1.802762108,0.0,0.0,0.0423,0.045321339,0.003021339,0.003021339,9.12848935292e-06,0.0714264539007,0.116747792901,0.048342678
7,30,0.333333333,0.666666667,0.0,9.624292309,13.4593253,4.977225563,4.976814077,120.0005424,89.995212,90.00617042,2.704182306,1.000082681,2.704405889,2.833783047,0.0,1.935623912,2.620920823,0.0,1.935623909,0.0,0.0,0.0,1.974830805,1.935678699,0.0,0.0689,0.075453407,0.006553407,0.006553407,4.29471433076e-05,0.0951147605225,0.170568167522,0.082006814
8,80,0.1875,0.6875,0.125,10.73991325,10.29545153,9.450526229,8.830582872,89.99885189,90.00135218,90.00143421,1.089405106,1.070204127,1.16588584,3.077234392,3.308003317,1.866301608,3.261747276,2.673062148,1.865253411,3.248026202,3.080584391,1.868726736,1.095682895,1.793488499,0.738772112,0.1371,0.132216174,0.004883826,-0.004883826,2.38517563983e-05,0.0356223632385,0.167838537239,0.1371
9,80,0.3125,0.6875,0.0,10.18138122,10.09837286,9.296770363,8.675872899,89.99957546,90.00193072,90.00211323,1.08622376,1.071565994,1.163960443,3.054100009,0.0,1.808516494,3.1558065,0.0,1.843011045,0.0,0.0,0.0,1.547328962,1.861450469,0.0,0.073,0.071805449,0.001194551,-0.001194551,1.4269520916e-06,0.0163637123288,0.0881691613288,0.073
10,80,0.75,0.0,0.25,10.08950929,9.311076111,9.310829675,9.310473611,90.00164172,89.99932838,90.00266602,1.000026468,1.000038243,1.000064712,0.0,3.007096789,1.966934224,0.0,0.0,0.0,3.084260876,0.0,1.975596645,1.969209719,0.0,1.155696422,0.2529,0.24324444,0.00965556,-0.00965556,9.32298389136e-05,0.0381793594306,0.281423799431,0.2529
11,30,0.166666667,0.5,0.333333333,10.82519998,13.91621027,5.191274541,5.190803358,120.0006352,89.99797036,90.00236375,2.680692412,1.000090773,2.680935745,3.042329135,2.843248752,2.015371106,1.596369567,3.100514717,2.015349065,2.295014168,2.942788944,2.015338045,1.382841339,2.054620005,2.074253074,0.2144,0.174398956,0.040001044,-0.040001044,0.00160008352109,0.186572033582,0.360970989582,0.2144
12,30,0.25,0.666666667,0.083333333,9.971685512,13.59432975,5.041048332,5.040606716,120.000469,89.99673186,90.00445672,2.696726723,1.000087612,2.696962988,2.777484699,1.229384897,1.95934718,2.574346784,1.602288212,1.959360162,3.688154691,2.777484699,1.959399049,1.691579698,1.978969065,0.672720025,0.1214,0.120860742,0.000539258,-0.000539258,2.90799190564e-07,0.00444199341021,0.12530273541,0.1214
